"id_from","id_to","relation"
"rc-017","rf-003","TRIGGERS_SYMPTOMS"
"rc-023","rf-004","TRIGGERS_SYMPTOMS"
"rc-033","rf-009","TRIGGERS_SYMPTOMS"
"rc-007","rf-012","TRIGGERS_SYMPTOMS"
"rc-027","rf-002","TRIGGERS_SYMPTOMS"
"rc-013","rf-002","TRIGGERS_SYMPTOMS"
"rc-003","rf-001","TRIGGERS_SYMPTOMS"
"rc-003","rf-004","TRIGGERS_SYMPTOMS"
"rc-003","rf-007","TRIGGERS_SYMPTOMS"
"rc-037","rf-010","TRIGGERS_SYMPTOMS"
"rc-037","rf-011","TRIGGERS_SYMPTOMS"
"rc-026","rf-002","TRIGGERS_SYMPTOMS"
"rc-012","rf-003","TRIGGERS_SYMPTOMS"
"rc-002","rf-005","TRIGGERS_SYMPTOMS"
"rc-002","rf-008","TRIGGERS_SYMPTOMS"
"rc-036","rf-010","TRIGGERS_SYMPTOMS"
"rc-036","rc-011","TRIGGERS_SYMPTOMS"
"rc-016","rf-008","TRIGGERS_SYMPTOMS"
"rc-022","rf-001","TRIGGERS_SYMPTOMS"
"rc-032","rf-009","TRIGGERS_SYMPTOMS"
"rc-006","rf-001","TRIGGERS_SYMPTOMS"
"rc-006","rf-012","TRIGGERS_SYMPTOMS"
"rc-029","rf-005","TRIGGERS_SYMPTOMS"
"rc-039","rf-010","TRIGGERS_SYMPTOMS"
"rc-039","rf-011","TRIGGERS_SYMPTOMS"
"rc-019","rf-006","TRIGGERS_SYMPTOMS"
"rc-009","rf-012","TRIGGERS_SYMPTOMS"
"rc-018","rf-006","TRIGGERS_SYMPTOMS"
"rc-008","rf-012","TRIGGERS_SYMPTOMS"
"rc-028","rf-003","TRIGGERS_SYMPTOMS"
"rc-038","rf-010","TRIGGERS_SYMPTOMS"
"rc-038","rf-011","TRIGGERS_SYMPTOMS"
"rc-025","rf-005","TRIGGERS_SYMPTOMS"
"rc-040","rf-011","TRIGGERS_SYMPTOMS"
"rc-011","rf-003","TRIGGERS_SYMPTOMS"
"rc-001","rf-008","TRIGGERS_SYMPTOMS"
"rc-035","rf-001","TRIGGERS_SYMPTOMS"
"rc-015","rf-012","TRIGGERS_SYMPTOMS"
"rc-031","rf-012","TRIGGERS_SYMPTOMS"
"rc-005","rf-012","TRIGGERS_SYMPTOMS"
"rc-014","rf-012","TRIGGERS_SYMPTOMS"
"rc-020","rf-012","TRIGGERS_SYMPTOMS"
"rc-020","rf-002","TRIGGERS_SYMPTOMS"
"rc-030","rf-006","TRIGGERS_SYMPTOMS"
"rc-004","rf-001","TRIGGERS_SYMPTOMS"
"rc-024","rf-004","TRIGGERS_SYMPTOMS"
"rc-024","rf-007","TRIGGERS_SYMPTOMS"
"rc-041","rf-002","TRIGGERS_SYMPTOMS"
"rc-010","rf-012","TRIGGERS_SYMPTOMS"
"rc-034","rf-012","TRIGGERS_SYMPTOMS"
