"id_from","id_to","relation"
"rf-010","rc-036","EXPLAINED_BY"
"rf-010","rc-037","EXPLAINED_BY"
"rf-010","rc-038","EXPLAINED_BY"
"rf-010","rc-039","EXPLAINED_BY"
"rf-004","rc-023","EXPLAINED_BY"
"rf-004","rc-024","EXPLAINED_BY"
"rf-005","rc-025","EXPLAINED_BY"
"rf-005","rc-002","EXPLAINED_BY"
"rf-005","rc-029","EXPLAINED_BY"
"rf-011","rc-036","EXPLAINED_BY"
"rf-011","rc-037","EXPLAINED_BY"
"rf-011","rc-038","EXPLAINED_BY"
"rf-011","rc-039","EXPLAINED_BY"
"rf-011","rc-040","EXPLAINED_BY"
"rf-001","rc-006","EXPLAINED_BY"
"rf-001","rc-004","EXPLAINED_BY"
"rf-001","rc-022","EXPLAINED_BY"
"rf-008","rc-016","EXPLAINED_BY"
"rf-008","rc-001","EXPLAINED_BY"
"rf-008","rc-002","EXPLAINED_BY"
"rf-009","rc-032","EXPLAINED_BY"
"rf-009","rc-033","EXPLAINED_BY"
"rf-006","rc-019","EXPLAINED_BY"
"rf-006","rc-030","EXPLAINED_BY"
"rf-006","rc-018","EXPLAINED_BY"
"rf-012","rc-006","EXPLAINED_BY"
"rf-012","rc-034","EXPLAINED_BY"
"rf-012","rc-008","EXPLAINED_BY"
"rf-012","rc-005","EXPLAINED_BY"
"rf-012","rc-010","EXPLAINED_BY"
"rf-012","rc-031","EXPLAINED_BY"
"rf-012","rc-007","EXPLAINED_BY"
"rf-012","rc-009","EXPLAINED_BY"
"rf-012","rc-015","EXPLAINED_BY"
"rf-012","rc-020","EXPLAINED_BY"
"rf-012","rc-014","EXPLAINED_BY"
"rf-002","rc-013","EXPLAINED_BY"
"rf-002","rc-020","EXPLAINED_BY"
"rf-002","rc-027","EXPLAINED_BY"
"rf-003","rc-028","EXPLAINED_BY"
"rf-003","rc-012","EXPLAINED_BY"
"rf-003","rc-017","EXPLAINED_BY"
"rf-003","rc-011","EXPLAINED_BY"
"rf-007","rc-003","EXPLAINED_BY"
"rf-007","rc-024","EXPLAINED_BY"
