"id_from","id_to","relation"
"rf-010","sc-002","RELATED_SUCCESS_CRITERIA"
"rf-004","sc-006","RELATED_SUCCESS_CRITERIA"
"rf-005","sc-006","RELATED_SUCCESS_CRITERIA"
"rf-011","sc-003","RELATED_SUCCESS_CRITERIA"
"rf-001","sc-004","RELATED_SUCCESS_CRITERIA"
"rf-008","sc-007","RELATED_SUCCESS_CRITERIA"
"rf-009","sc-001","RELATED_SUCCESS_CRITERIA"
"rf-006","sc-006","RELATED_SUCCESS_CRITERIA"
"rf-002","sc-004","RELATED_SUCCESS_CRITERIA"
"rf-003","sc-005","RELATED_SUCCESS_CRITERIA"
"rf-007","sc-006","RELATED_SUCCESS_CRITERIA"
