"id","title","type","description","context","impact","preventive_measures","introduced_in_phase","reviewable_in_phase","tags"
"rc-017","Insufficient capacity planning for the target architecture","root_cause","新システム側での必要な性能要件（リクエスト数、スループット、同時接続など）に対する容量見積もりが不十分。","特に、ピーク時のトラフィックやバッチ処理、外部接続数などを軽視すると性能劣化・ダウンタイムの原因となる。  
また、同時接続数や処理スループットなどのキャパシティ要件が、サブシステム・サービス・コンポーネント単位でバラバラに検討されており、全体として整合性の取れた性能設計がなされていない、あるいは明示的な定義自体が存在しないことが多い。","システム稼働後に処理能力が不足し、レスポンスの遅延や障害、ユーザー体験の劣化を招くリスクが高まる。","TBD","D","D","root_cause"
"rc-023","Not a standard configuration; lacking operational knowledge","root_cause","一般的な運用知見やサポートのある構成ではなく、特殊な構成や独自実装が多いため、対応やトラブルシューティングが困難。","特殊な構成によりドキュメントや既存知見が適用できず、知識が属人化しやすい。  
その結果、**人に依存したオペレーション**や、トラブル時の手詰まりを招く。","運用の安定性が確保できず、障害発生時の対応遅延や復旧不能のリスクが高まる。","TBD","E","E","root_cause"
"rc-033","Vision was never defined","root_cause","ビジョンが定義されておらず、システムやアーキテクチャの設計方針に一貫性が欠けている。","経営層やビジネス部門との間で中長期的な方向性が合意されておらず、プロジェクト開始時点での設計判断がブレやすくなる。  
また、要件定義やレビューの際に「何が正解か」が判断できない状態に陥りやすい。","実装された成果物がビジネスニーズに適合せず、度重なる修正や認識齟齬によるプロジェクト遅延・コスト超過を招く。","TBD","A","A","root_cause"
"rc-007","Structural design inhibits testability","root_cause","アプリケーションのコード構造（クラス設計・依存関係・ライブラリ選定など）が、テスト容易性に対して配慮されていない。","継承の多用、状態の持ち方の複雑さ、グローバル状態の依存などにより、ユニットテストの構成が難しく、実行コストが高くなりがちである。  
また、ビルド時間の長さや依存ライブラリの初期化負荷、抽象化・インターフェース設計の不足により、モック化やスタブ化が困難となり、テスト作業が後回しにされやすい。","テストが十分に実施されず、バグの早期検出や回帰検証が困難になり、品質の低下や手戻りの発生につながる。","TBD","C","D","root_cause"
"rc-027","Data verification method not defined","root_cause","移行・結合・本番反映におけるデータ整合性の検証方法（例：差分チェック、クロスチェック、期待値定義など）が設計段階で明確に定義されていない。","特に本番データを扱う場合、チェック方法が「目視」や「なんとなく動いている」などに頼りがちで、形式的な検証基準が存在しないまま設計・実装が進むことが多い。","不整合やデータ破壊の兆候を早期に発見できず、汚染状態でシステムが稼働してしまうリスクが高まり、信頼性・正確性を損なう。","TBD","G","G","root_cause"
"rc-013","Baseline Architecture understanding was insufficient","root_cause","既存システムの構造や制約についての理解が不十分なままアーキテクチャ設計が進められ、依存関係や制約の見落としが発生する。","特に、暗黙的な結合や処理順序の前提を見逃すことで、実装・移行フェーズで深刻な手戻りが生じる。  
また、「刷新だから新しいものだけを見ればよい」という意識の下で、旧システムの構造的制約・業務的依存・データフローを調査せずに設計が進められることが多い。","トランジションアーキテクチャが非現実的な絵空事となり、カットオーバー不能・段階移行の失敗に繋がる。","TBD","D","D","root_cause"
"rc-003","Unclear responsibility boundaries among DevOps, infrastructure, and application operations","root_cause","DevOps、インフラ、アプリ運用の責任範囲が不明確なため、設計・構成・運用の連携が破綻しやすくなる。","例えば「誰が何をモニタリングすべきか」「どこまでがコードとして管理されるか」といった認識が曖昧で、各チームがサイロ化して作業している場合が多い。","連携の不備により障害対応や改善活動において属人化・手戻りが発生しやすく、**設計方針の不整合や運用上の抜け漏れ**が多発する。","TBD","G","G","root_cause"
"rc-037","Insufficient alignment through the implementation phase","root_cause","The implementation process failed to consistently align with architectural objectives and models. Decisions made during development were not validated against the architectural vision, leading to design drift.","This often occurs in agile or parallel delivery contexts where architectural guidance is insufficiently embedded in team workflows. Lack of governance, absent architecture representatives, or fragmented responsibilities can contribute to the misalignment.","Architectural drift results in systems that violate intended structure, cross-cutting concerns, or design principles. This may lead to operational inefficiencies, increased integration complexity, or a loss of long-term maintainability.","- Establish architectural alignment checkpoints throughout the implementation phase.
- Assign architectural ownership at team level (e.g., feature team architect).
- Incorporate architecture review criteria into definition of done.
- Use architectural traceability techniques to surface divergence early.","G","G","root_cause"
"rc-026","Dark launch mechanism was not implemented","root_cause","本番環境に影響を与えずに新旧システムの比較・検証を行うための「ダークローンチ」機構が設計に含まれていない。","並行稼働・トラフィックミラーリング・結果比較などの仕組みが不在なことで、重大な不整合やバグを事前に検出できず、本番障害に直結するリスクが高まる。  
特にStrangler Pattern等の段階移行において、機能切替の安全性評価が主観や経験則に依存しやすくなる。","移行時に十分な検証ができず、切替後に予期しない障害や不整合が顕在化し、サービス中断やユーザー影響につながる。","TBD","G","G","root_cause"
"rc-012","External system dependencies not captured in baseline architecture","root_cause","現行システムが他の社内外システムとどのように連携しているか（API連携、バッチ処理、ファイル転送、DBLink等）がベースラインアーキテクチャで明示されておらず、全体構造の前提が欠落している。","特に暗黙的なデータフローやスケジュールベースの同期処理など、可視化されていない依存関係が把握されていないケースが多く、設計段階での見落としが発生しやすい。","新アーキテクチャ設計において既存の連携が見落とされ、結合点の欠落・移行時の障害・再設計の発生につながる。","TBD","D","D","root_cause"
