"id_from","id_to","relation"
"rc-027","rc-021","caused_by"
"rc-026","rc-020","caused_by"
"rc-026","rc-021","caused_by"
"rc-022","rc-201","caused_by"
"rc-006","rc-013","caused_by"
"rc-009","rc-020","caused_by"
"rc-009","rc-021","caused_by"
"rc-008","rc-020","caused_by"
"rc-035","rc-201","caused_by"
"rc-015","rc-021","caused_by"
"rc-015","rc-008","caused_by"
"rc-005","rc-020","caused_by"
"rc-014","rc-013","caused_by"
"rc-041","rc-020","caused_by"
"rc-041","rc-021","caused_by"
"rc-010","rc-020","caused_by"
