"id_from","id_to","relation"
"rc-013","rc-006","TRIGGERS_ROOT_CAUSES"
"rc-013","rc-014","TRIGGERS_ROOT_CAUSES"
"rc-022","rc-202","TRIGGERS_ROOT_CAUSES"
"rc-008","rc-015","TRIGGERS_ROOT_CAUSES"
"rc-035","rc-202","TRIGGERS_ROOT_CAUSES"
"rc-021","rc-009","TRIGGERS_ROOT_CAUSES"
"rc-021","rc-015","TRIGGERS_ROOT_CAUSES"
"rc-021","rc-026","TRIGGERS_ROOT_CAUSES"
"rc-021","rc-027","TRIGGERS_ROOT_CAUSES"
"rc-020","rc-005","TRIGGERS_ROOT_CAUSES"
"rc-020","rc-010","TRIGGERS_ROOT_CAUSES"
"rc-020","rc-009","TRIGGERS_ROOT_CAUSES"
"rc-020","rc-008","TRIGGERS_ROOT_CAUSES"
"rc-020","rc-026","TRIGGERS_ROOT_CAUSES"
