"id_from","id_to","relation"
"rf-010","sc-002","related_success_criteria"
"rf-004","sc-006","related_success_criteria"
"rf-005","sc-006","related_success_criteria"
"rf-011","sc-003","related_success_criteria"
"rf-001","rf-012","explained_by_symptom"
"rf-001","sc-004","related_success_criteria"
"rf-008","sc-007","related_success_criteria"
"rf-009","sc-001","related_success_criteria"
"rf-006","sc-006","related_success_criteria"
"rf-002","sc-004","related_success_criteria"
"rf-003","sc-005","related_success_criteria"
"rf-007","sc-006","related_success_criteria"
